"Group name","Main","Middle","Sub","Central","Unfiltered","Description","DatapointType","Security"
"gaZEN_R_DG_AKD_5_Ueberstrom","0","0","136","","","","","Auto"
"gaZEN_R_DG_AKD_6_Betriebsstatus","0","0","137","","","","","Auto"
"gaZEN_R_Datum","0","0","2","","","","","Auto"
"gaZEN_R_Uhrzeit","0","0","1","","","","","Auto"
"gaZEN_R_Datum_Uhrzeit","0","0","3","","","","","Auto"
"gaZEN_R_Tag_Nacht","0","0","4","","","","","Auto"
"gaWOZ_RW_Grossraumbeleuchtung_Schalten","8","1","0","","","","","Auto"
"gaWOZ_RW_Grossraumbeleuchtung_absolut_FarbtemperaturP","8","1","1","","","","","Auto"
"gaWOZ_RW_Grossraumbeleuchtung_absolut_FarbtemperaturK","8","1","2","","","","","Auto"
"gaWOZ_RW_Grossraumbeleuchtung_absolut_Helligkeit","8","1","3","","","","","Auto"
"gaWOZ_RW_Grossraumbeleuchtung_relativ_FarbtemperaturP","8","1","4","","","","","Auto"
"gaWOZ_RW_Grossraumbeleuchtung_relativ_FarbtemperaturK","8","1","5","","","","","Auto"
"gaWOZ_RW_Grossraumbeleuchtung_relativ_Helligkeit","8","1","6","","","","","Auto"
"gaWOZ_R_Grossraumbeleuchtung_Status_Schalten","8","1","7","","","","","Auto"
"gaWOZ_R_Grossraumbeleuchtung_Status_FarbtemperaturP","8","1","8","","","","","Auto"
"gaWOZ_R_Grossraumbeleuchtung_Status_FarbtemperaturK","8","1","9","","","","","Auto"
"gaWOZ_R_Grossraumbeleuchtung_Status__Helligkeit","8","1","10","","","","","Auto"
"gaWOZ_R_Grossraumbeleuchtung_Status__Sperre","8","1","11","","","","","Auto"
"gaWOZ_RW_Grossraumbeleuchtung_Sperre1","8","1","12","","","","","Auto"
"gaWOZ_RW_Grossraumbeleuchtung_Sperre2","8","1","13","","","","","Auto"
"gaWOZ_RW_TV_Spots_Schalten","8","1","20","","","","","Auto"
"gaWOZ_RW_TV_Spots_absolut_FarbtemperaturP","8","1","21","","","","","Auto"
"gaWOZ_RW_TV_Spots_absolut_FarbtemperaturK","8","1","22","","","","","Auto"
"gaWOZ_RW_TV_Spots_absolut_Helligkeit","8","1","23","","","","","Auto"
"gaWOZ_RW_TV_Spots_relativ_FarbtemperaturP","8","1","24","","","","","Auto"
"gaWOZ_RW_TV_Spots_relativ_FarbtemperaturK","8","1","25","","","","","Auto"
"gaWOZ_RW_TV_Spots_relativ_Helligkeit","8","1","26","","","","","Auto"
"gaWOZ_R_TV_Spots_Status_Schalten","8","1","27","","","","","Auto"
"gaWOZ_R_TV_Spots_Status_FarbtemperaturP","8","1","28","","","","","Auto"
"gaWOZ_R_TV_Spots_Status_FarbtemperaturK","8","1","29","","","","","Auto"
"gaWOZ_R_TV_Spots_Status__Helligkeit","8","1","30","","","","","Auto"
"gaWOZ_R_TV_Spots_Status__Sperre","8","1","31","","","","","Auto"
"gaWOZ_RW_TV_Spots_Sperre1","8","1","32","","","","","Auto"
"gaWOZ_RW_TV_Spots_Sperre2","8","1","33","","","","","Auto"
"gaWOZ_RW_Esstisch_Spots_Schalten","8","1","40","","","","","Auto"
"gaWOZ_RW_Esstisch_Spots_absolut_FarbtemperaturP","8","1","41","","","","","Auto"
"gaWOZ_RW_Esstisch_Spots_absolut_FarbtemperaturK","8","1","42","","","","","Auto"
"gaWOZ_RW_Esstisch_Spots_absolut_Helligkeit","8","1","43","","","","","Auto"
"gaWOZ_RW_Esstisch_Spots_relativ_FarbtemperaturP","8","1","44","","","","","Auto"
"gaWOZ_RW_Esstisch_Spots_relativ_FarbtemperaturK","8","1","45","","","","","Auto"
"gaWOZ_RW_Esstisch_Spots_relativ_Helligkeit","8","1","46","","","","","Auto"
"gaWOZ_R_Esstisch_Spots_Status_Schalten","8","1","47","","","","","Auto"
"gaWOZ_R_Esstisch_Spots_Status_FarbtemperaturP","8","1","48","","","","","Auto"
"gaWOZ_R_Esstisch_Spots_Status_FarbtemperaturK","8","1","49","","","","","Auto"
"gaWOZ_R_Esstisch_Spots_Status__Helligkeit","8","1","50","","","","","Auto"
"gaWOZ_R_Esstisch_Spots_Status__Sperre","8","1","51","","","","","Auto"
"gaWOZ_RW_Esstisch_Spots_Sperre1","8","1","52","","","","","Auto"
"gaWOZ_RW_Esstisch_Spots_Sperre2","8","1","53","","","","","Auto"
"gaKUE_RW_Spots_Schalten","9","1","60","","","","","Auto"
"gaKUE_RW_Spots_absolut_FarbtemperaturP","9","1","61","","","","","Auto"
"gaKUE_RW_Spots_absolut_FarbtemperaturK","9","1","62","","","","","Auto"
"gaKUE_RW_Spots_absolut_Helligkeit","9","1","63","","","","","Auto"
"gaKUE_RW_Spots_relativ_FarbtemperaturP","9","1","64","","","","","Auto"
"gaKUE_RW_Spots_relativ_FarbtemperaturK","9","1","65","","","","","Auto"
"gaKUE_RW_Spots_relativ_Helligkeit","9","1","66","","","","","Auto"
"gaKUE_R_Spots_Status_Schalten","9","1","67","","","","","Auto"
"gaKUE_R_Spots_Status_FarbtemperaturP","9","1","68","","","","","Auto"
"gaKUE_R_Spots_Status_FarbtemperaturK","9","1","69","","","","","Auto"
"gaKUE_R_Spots_Status__Helligkeit","9","1","70","","","","","Auto"
"gaKUE_R_Spots_Status__Sperre","9","1","71","","","","","Auto"
"gaKUE_RW_Spots_Sperre1","9","1","72","","","","","Auto"
"gaKUE_RW_Spots_Sperre2","9","1","73","","","","","Auto"
"gaBAD_RW_LED_Stripe_Schalten","16","1","0","","","","","Auto"
"gaBAD_RW_LED_Stripe_absolut_FarbtemperaturP","16","1","1","","","","","Auto"
"gaBAD_RW_LED_Stripe_absolut_FarbtemperaturK","16","1","2","","","","","Auto"
"gaBAD_RW_LED_Stripe_absolut_Helligkeit","16","1","3","","","","","Auto"
"gaBAD_RW_LED_Stripe_relativ_FarbtemperaturP","16","1","4","","","","","Auto"
"gaBAD_RW_LED_Stripe_relativ_FarbtemperaturK","16","1","5","","","","","Auto"
"gaBAD_RW_LED_Stripe_relativ_Helligkeit","16","1","6","","","","","Auto"
"gaBAD_R_LED_Stripe_Status_Schalten","16","1","7","","","","","Auto"
"gaBAD_R_LED_Stripe_Status_FarbtemperaturP","16","1","8","","","","","Auto"
"gaBAD_R_LED_Stripe_Status_FarbtemperaturK","16","1","9","","","","","Auto"
"gaBAD_R_LED_Stripe_Status_Helligkeit","16","1","10","","","","","Auto"
"gaBAD_R_LED_Stripe_Status_Sperre","16","1","11","","","","","Auto"
"gaBAD_RW_LED_Stripe_Sperre1","16","1","12","","","","","Auto"
"gaBAD_RW_LED_Stripe_Sperre2","16","1","13","","","","","Auto"
"gaBAD_RW_Dusche_Schalten","16","1","20","","","","","Auto"
"gaBAD_RW_Dusche_absolut_FarbtemperaturP","16","1","21","","","","","Auto"
"gaBAD_RW_Dusche_absolut_FarbtemperaturK","16","1","22","","","","","Auto"
"gaBAD_RW_Dusche_absolut_Helligkeit","16","1","23","","","","","Auto"
"gaBAD_RW_Dusche_relativ_FarbtemperaturP","16","1","24","","","","","Auto"
"gaBAD_RW_Dusche_relativ_FarbtemperaturK","16","1","25","","","","","Auto"
"gaBAD_RW_Dusche_relativ_Helligkeit","16","1","26","","","","","Auto"
"gaBAD_R_Dusche_Status_Schalten","16","1","27","","","","","Auto"
"gaBAD_R_Dusche_Status_FarbtemperaturP","16","1","28","","","","","Auto"
"gaBAD_R_Dusche_Status_FarbtemperaturK","16","1","29","","","","","Auto"
"gaBAD_R_Dusche_Status__Helligkeit","16","1","30","","","","","Auto"
"gaBAD_R_Dusche_Status__Sperre","16","1","31","","","","","Auto"
"gaBAD_RW_Dusche_Sperre1","16","1","32","","","","","Auto"
"gaBAD_RW_Dusche_Sperre2","16","1","33","","","","","Auto"
"gaBAD_RW_Hauptbeleuchtung_Schalten","16","1","40","","","","","Auto"
"gaBAD_RW_Hauptbeleuchtung_absolut_FarbtemperaturP","16","1","41","","","","","Auto"
"gaBAD_RW_Hauptbeleuchtung_absolut_FarbtemperaturK","16","1","42","","","","","Auto"
"gaBAD_RW_Hauptbeleuchtung_absolut_Helligkeit","16","1","43","","","","","Auto"
"gaBAD_RW_Hauptbeleuchtung_relativ_FarbtemperaturP","16","1","44","","","","","Auto"
"gaBAD_RW_Hauptbeleuchtung_relativ_FarbtemperaturK","16","1","45","","","","","Auto"
"gaBAD_RW_Hauptbeleuchtung_relativ_Helligkeit","16","1","46","","","","","Auto"
"gaBAD_R_Hauptbeleuchtung_Status_Schalten","16","1","47","","","","","Auto"
"gaBAD_R_Hauptbeleuchtung_Status_FarbtemperaturP","16","1","48","","","","","Auto"
"gaBAD_R_Hauptbeleuchtung_Status_FarbtemperaturK","16","1","49","","","","","Auto"
"gaBAD_R_Hauptbeleuchtung_Status__Helligkeit","16","1","50","","","","","Auto"
"gaBAD_R_Hauptbeleuchtung_Status__Sperre","16","1","51","","","","","Auto"
"gaBAD_RW_Hauptbeleuchtung_Sperre1","16","1","52","","","","","Auto"
"gaBAD_RW_Hauptbeleuchtung_Sperre2","16","1","53","","","","","Auto"
"gaBAD_R_Glasttaster_Temperatur","16","5","0","","","","","Auto"
"gaBAD_R_Glasttaster_Betriebsstatus","16","7","0","","","","","Auto"
"gaBAD_R_Glasttaster_Tastenbetaetigung","16","6","0","","","","","Auto"
"gaBAD_RW_Glasttaster_Status_Text_1","16","7","1","","","","","Auto"
"gaBAD_RW_Glasttaster_Status_Text_2","16","7","2","","","","","Auto"
"gaZEN_R_EG_Rollladen_Aktor","0","0","140","","","","","Auto"
"gaZEN_R_DG_Rollladen_Aktor","0","0","141","","","","","Auto"
"gaZEN_RW_EG_Rollladen_Auf_Ab","0","0","50","","","","","Auto"
"gaZEN_RW_EG_Rollladen_Stop","0","0","51","","","","","Auto"
"gaZEN_R_EG_Rollladen_Absolute_Position","0","0","52","","","","","Auto"
"gaZEN_RW_DG_Rollladen_Auf_Ab","0","0","53","","","","","Auto"
"gaZEN_RW_DG_Rollladen_Stop","0","0","54","","","","","Auto"
"gaZEN_R_DG_Rollladen_Absolute_Position","0","0","55","","","","","Auto"
"gaZEN_RW_ALL_Rollladen_Auf_Ab","0","0","56","","","","","Auto"
"gaZEN_RW_ALL_Rollladen_Stop","0","0","57","","","","","Auto"
"gaZEN_R_ALL_Rollladen_Absolute_Position","0","0","58","","","","","Auto"
"gaGWC_RW_Hauptbeleuchtung_Schalten","11","1","0","","","","","Auto"
"gaGWC_R_Hauptbeleuchtung_Status_Schalten","11","1","1","","","","","Auto"
"gaHWR_RW_Hauptbeleuchtung_Schalten","10","1","0","","","","","Auto"
"gaHWR_R_Hauptbeleuchtung_Status_Schalten","10","1","1","","","","","Auto"
"gaKUE_RW_Strom_Theke_Schalten","9","6","0","","","","","Auto"
"gaKUE_R_Strom_Theke_Status","9","6","1","","","","","Auto"
"gaKUE_RW_Strom_Theke_Sperren","9","6","2","","","","","Auto"
"gaKUE_RW_Strom_Theke_Schwellwertschalter","9","6","3","","","","","Auto"
"gaKUE_R_Strom_Theke_Betriebsstundenzaehler","9","6","4","","","","","Auto"
"gaWOZ_RW_Esstisch_Schalten","8","1","100","","","","","Auto"
"gaWOZ_R_Esstisch_Status_Schalten","8","1","101","","","","","Auto"
"gaWOZ_RW_Esstisch_absolut_Dimmen","8","1","102","","","","","Auto"
"gaWOZ_R_Esstisch_Status_Helligkeit","8","1","103","","","","","Auto"
"gaWOZ_RW_Esstisch_relativ_Dimmen","8","1","104","","","","","Auto"
"gaHWR_RW_Strom_Waschmaschine_Schalten","10","6","0","","","","","Auto"
"gaHWR_R_Strom_Waschmaschine_Status","10","6","1","","","","","Auto"
"gaHWR_RW_Strom_Waschmaschine_Sperren","10","6","2","","","","","Auto"
"gaHWR_R_Strom_Waschmaschine_Betriebsstundenzaehler","10","6","10","","","","","Auto"
"gaHWR_R_Strom_Waschmaschine_Wirkleistung","10","6","11","","","","","Auto"
"gaHWR_R_Strom_Waschmaschine_Strom","10","6","12","","","","","Auto"
"gaHWR_R_Strom_Waschmaschine_Verbrauch","10","6","13","","","","","Auto"
"gaHWR_RW_Strom_Trockner_Schalten","10","6","20","","","","","Auto"
"gaHWR_R_Strom_Trockner_Status","10","6","21","","","","","Auto"
"gaHWR_RW_Strom_Trockner_Sperren","10","6","22","","","","","Auto"
"gaHWR_R_Strom_Trockner_Betriebsstundenzaehler","10","6","30","","","","","Auto"
"gaHWR_R_Strom_Trockner_Wirkleistung","10","6","31","","","","","Auto"
"gaHWR_R_Strom_Trockner_Strom","10","6","32","","","","","Auto"
"gaHWR_R_Strom_Trockner_Verbrauch","10","6","33","","","","","Auto"
"gaKUE_RW_Strom_Kuehlschrank_Schalten","9","6","20","","","","","Auto"
"gaKUE_R_Strom_Kuehlschrank_Status","9","6","21","","","","","Auto"
"gaKUE_RW_Strom_Kuehlschrank_Sperren","9","6","22","","","","","Auto"
"gaKUE_R_Strom_Kuehlschrank_Betriebsstundenzaehler","9","6","30","","","","","Auto"
"gaKUE_R_Strom_Kuehlschrank_Wirkleistung","9","6","31","","","","","Auto"
"gaKUE_R_Strom_Kuehlschrank_Strom","9","6","32","","","","","Auto"
"gaKUE_R_Strom_Kuehlschrank_Verbrauch","9","6","33","","","","","Auto"
"gaKUE_RW_Strom_Spuelmaschine_Schalten","9","6","40","","","","","Auto"
"gaKUE_R_Strom_Spuelmaschine_Status","9","6","41","","","","","Auto"
"gaKUE_RW_Strom_Spuelmaschine_Sperren","9","6","42","","","","","Auto"
"gaKUE_R_Strom_Spuelmaschine_Betriebsstundenzaehler","9","6","50","","","","","Auto"
"gaKUE_R_Strom_Spuelmaschine_Wirkleistung","9","6","51","","","","","Auto"
"gaKUE_R_Strom_Spuelmaschine_Strom","9","6","52","","","","","Auto"
"gaKUE_R_Strom_Spuelmaschine_Verbrauch","9","6","53","","","","","Auto"
"gaHWR_RW_Strom_Kuehlschrank_Schalten","10","6","40","","","","","Auto"
"gaHWR_R_Strom_Kuehlschrank_Status","10","6","41","","","","","Auto"
"gaHWR_RW_Strom_Kuehlschrank_Sperren","10","6","42","","","","","Auto"
"gaHWR_R_Strom_Kuehlschrank_Betriebsstundenzaehler","10","6","50","","","","","Auto"
"gaHWR_R_Strom_Kuehlschrank_Wirkleistung","10","6","51","","","","","Auto"
"gaHWR_R_Strom_Kuehlschrank_Strom","10","6","52","","","","","Auto"
"gaHWR_R_Strom_Kuehlschrank_Verbrauch","10","6","53","","","","","Auto"
"gaANK_RW_Hauptbeleuchtung_Schalten","17","2","0","","","","","Auto"
"gaANK_RW_Hauptbeleuchtung_Status_Schalten","17","2","1","","","","","Auto"
